rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
150,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,2,2,107,107,105,105,snapshot_2026_05_26.json,snapshot_2026_05_23.json
151,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,2,2,105,105,103,103,snapshot_2026_05_26.json,snapshot_2026_05_23.json
152,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,2,2,105,105,103,103,snapshot_2026_05_26.json,snapshot_2026_05_23.json
153,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,2,2,86,86,84,84,snapshot_2026_05_26.json,snapshot_2026_05_23.json
154,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,77,77,75,75,snapshot_2026_05_26.json,snapshot_2026_05_23.json
155,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,71,71,69,69,snapshot_2026_05_26.json,snapshot_2026_05_23.json
156,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,2,2,60,60,58,58,snapshot_2026_05_26.json,snapshot_2026_05_23.json
157,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,60,60,58,58,snapshot_2026_05_26.json,snapshot_2026_05_23.json
158,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,2,2,58,58,56,56,snapshot_2026_05_26.json,snapshot_2026_05_23.json
159,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,54,54,52,52,snapshot_2026_05_26.json,snapshot_2026_05_23.json
160,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,2,2,52,52,50,50,snapshot_2026_05_26.json,snapshot_2026_05_23.json
161,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,2,2,46,46,44,44,snapshot_2026_05_26.json,snapshot_2026_05_23.json
162,map,tri-cities,Tri-Cities,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,36,36,34,34,snapshot_2026_05_26.json,snapshot_2026_05_23.json
163,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,27,27,25,25,snapshot_2026_05_26.json,snapshot_2026_05_23.json
164,map,yukina-pl-rzeszow,Rzeszów,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,21,21,19,19,snapshot_2026_05_26.json,snapshot_2026_05_23.json
165,map,yukina-cz-liberec-jablonec,Liberec - Jablonec nad Nisou,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,14,14,12,12,snapshot_2026_05_26.json,snapshot_2026_05_23.json
166,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,350,350,349,349,snapshot_2026_05_26.json,snapshot_2026_05_23.json
167,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,1,1,266,266,265,265,snapshot_2026_05_26.json,snapshot_2026_05_23.json
168,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,239,239,238,238,snapshot_2026_05_26.json,snapshot_2026_05_23.json
169,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,191,191,190,190,snapshot_2026_05_26.json,snapshot_2026_05_23.json
170,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,157,157,156,156,snapshot_2026_05_26.json,snapshot_2026_05_23.json
171,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,147,147,146,146,snapshot_2026_05_26.json,snapshot_2026_05_23.json
172,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,147,147,146,146,snapshot_2026_05_26.json,snapshot_2026_05_23.json
173,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,1,1,132,132,131,131,snapshot_2026_05_26.json,snapshot_2026_05_23.json
174,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,1,1,132,132,131,131,snapshot_2026_05_26.json,snapshot_2026_05_23.json
175,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,130,130,129,129,snapshot_2026_05_26.json,snapshot_2026_05_23.json
176,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,116,116,115,115,snapshot_2026_05_26.json,snapshot_2026_05_23.json
177,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,1,1,115,115,114,114,snapshot_2026_05_26.json,snapshot_2026_05_23.json
