rank,listing_type,id,name,author,download_change,current_total,baseline_total,latest_snapshot,baseline_snapshot
17,map,montreal,Montreal,devenperez,31,437,406,snapshot_2026_03_30.json,snapshot_2026_03_29.json
18,map,vancouver,Vancouver,devenperez,31,354,323,snapshot_2026_03_30.json,snapshot_2026_03_29.json
19,map,mfn-hong-kong,Hong Kong,crumpetime,30,322,292,snapshot_2026_03_30.json,snapshot_2026_03_29.json
20,map,greater-los-angeles,Greater Los Angeles,rslurry,29,257,228,snapshot_2026_03_30.json,snapshot_2026_03_29.json
21,map,los-angeles-county,Los Angeles County,rslurry,29,148,119,snapshot_2026_03_30.json,snapshot_2026_03_29.json
22,mod,cinematic-camera,Cinematic Camera,TransitCore,29,142,113,snapshot_2026_03_30.json,snapshot_2026_03_29.json
23,map,singapore-val,Singapore,Valdotorium,27,154,127,snapshot_2026_03_30.json,snapshot_2026_03_29.json
24,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,26,148,122,snapshot_2026_03_30.json,snapshot_2026_03_29.json
25,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,25,130,105,snapshot_2026_03_30.json,snapshot_2026_03_29.json
26,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,24,161,137,snapshot_2026_03_30.json,snapshot_2026_03_29.json
27,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,24,120,96,snapshot_2026_03_30.json,snapshot_2026_03_29.json
28,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,22,51,29,snapshot_2026_03_30.json,snapshot_2026_03_29.json
29,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,20,109,89,snapshot_2026_03_30.json,snapshot_2026_03_29.json
30,map,yukina-sendai,仙台 (Sendai),ahkimn,20,93,73,snapshot_2026_03_30.json,snapshot_2026_03_29.json
31,map,warsaw-val,Warsaw,Valdotorium,20,68,48,snapshot_2026_03_30.json,snapshot_2026_03_29.json
32,map,tel-aviv,Tel Aviv,BarKuperman,19,112,93,snapshot_2026_03_30.json,snapshot_2026_03_29.json
33,map,puerto-rico,Puerto Rico,rslurry,19,74,55,snapshot_2026_03_30.json,snapshot_2026_03_29.json
34,map,dublin,Dublin,Kronifer,17,239,222,snapshot_2026_03_30.json,snapshot_2026_03_29.json
35,map,calgary,Calgary,devenperez,17,198,181,snapshot_2026_03_30.json,snapshot_2026_03_29.json
36,map,rome,Rome,Maximilian284,17,128,111,snapshot_2026_03_30.json,snapshot_2026_03_29.json
37,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,17,72,55,snapshot_2026_03_30.json,snapshot_2026_03_29.json
38,map,edmonton,Edmonton,devenperez,16,173,157,snapshot_2026_03_30.json,snapshot_2026_03_29.json
39,map,milan,Milan,Maximilian284,16,139,123,snapshot_2026_03_30.json,snapshot_2026_03_29.json
40,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,16,88,72,snapshot_2026_03_30.json,snapshot_2026_03_29.json
41,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,16,74,58,snapshot_2026_03_30.json,snapshot_2026_03_29.json
42,map,cairo,Cairo,ryandicicco,16,54,38,snapshot_2026_03_30.json,snapshot_2026_03_29.json
43,map,trondheim-val,Trondheim,Valdotorium,16,39,23,snapshot_2026_03_30.json,snapshot_2026_03_29.json
44,map,spokane,Spokane,ryandicicco,16,30,14,snapshot_2026_03_30.json,snapshot_2026_03_29.json
45,map,yukina-hakodate,函館 (Hakodate),ahkimn,15,52,37,snapshot_2026_03_30.json,snapshot_2026_03_29.json
