rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
95,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,134,134,snapshot_2026_05_12.json
96,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,132,132,snapshot_2026_05_12.json
97,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,131,131,snapshot_2026_05_12.json
98,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,129,129,snapshot_2026_05_12.json
99,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,128,128,snapshot_2026_05_12.json
100,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,126,126,snapshot_2026_05_12.json
101,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,125,125,snapshot_2026_05_12.json
102,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,125,125,snapshot_2026_05_12.json
103,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,122,122,snapshot_2026_05_12.json
104,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,122,122,snapshot_2026_05_12.json
105,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,122,122,snapshot_2026_05_12.json
106,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,121,121,snapshot_2026_05_12.json
107,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,120,120,snapshot_2026_05_12.json
108,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,119,119,snapshot_2026_05_12.json
109,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,117,117,snapshot_2026_05_12.json
110,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,116,116,snapshot_2026_05_12.json
111,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,116,116,snapshot_2026_05_12.json
112,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,114,114,snapshot_2026_05_12.json
113,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,113,95,snapshot_2026_05_12.json
114,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,110,110,snapshot_2026_05_12.json
115,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,109,109,snapshot_2026_05_12.json
116,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,107,107,snapshot_2026_05_12.json
117,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,107,107,snapshot_2026_05_12.json
118,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,105,105,snapshot_2026_05_12.json
119,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,103,103,snapshot_2026_05_12.json
120,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,101,101,snapshot_2026_05_12.json
121,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,99,99,snapshot_2026_05_12.json
122,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,98,98,snapshot_2026_05_12.json
123,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,98,98,snapshot_2026_05_12.json
124,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,97,97,snapshot_2026_05_12.json
125,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,96,96,snapshot_2026_05_12.json
126,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,95,95,snapshot_2026_05_12.json
127,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,92,92,snapshot_2026_05_12.json
128,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,92,92,snapshot_2026_05_12.json
129,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,90,90,snapshot_2026_05_12.json
130,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,89,89,snapshot_2026_05_12.json
131,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,88,88,snapshot_2026_05_12.json
132,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,85,85,snapshot_2026_05_12.json
133,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,84,84,snapshot_2026_05_12.json
134,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,84,84,snapshot_2026_05_12.json
135,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,83,83,snapshot_2026_05_12.json
136,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,81,81,snapshot_2026_05_12.json
137,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,80,80,snapshot_2026_05_12.json
138,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,79,79,snapshot_2026_05_12.json
139,map,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,76,76,snapshot_2026_05_12.json
140,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,75,75,snapshot_2026_05_12.json
141,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,72,72,snapshot_2026_05_12.json
142,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,72,72,snapshot_2026_05_12.json
