rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
30,JGuylherme,JGuylherme,https://github.com/JGuylherme,1,1,0,193,193,193,193,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,193,193,0,0
31,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,185,185,2691,2691,2506,2506,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,185,185
32,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,174,174,2856,2856,2682,2682,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,174,174
33,cromstar,cromstar,https://github.com/cromstar,1,1,0,165,165,451,451,286,286,snapshot_2026_09_26.json,snapshot_2026_08_27.json,165,165,0,0
34,patchbaywizard,patchbaywizard,https://github.com/patchbaywizard,1,0,1,156,156,156,156,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,156,156
35,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,153,153,1956,1956,1803,1803,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,153,153
36,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,153,153,247,247,94,94,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,153,153
37,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,139,137,1715,1713,1576,1576,snapshot_2026_09_26.json,snapshot_2026_08_27.json,139,137,0,0
38,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,139,139,209,209,70,70,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,139,139
39,arniber21,arniber21,https://github.com/arniber21,1,0,1,134,134,316,316,182,182,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,134,134
40,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,131,131,1581,1581,1450,1450,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,131,131
41,jelegend,jelegend,https://github.com/jelegend,1,1,0,128,128,3806,3806,3678,3678,snapshot_2026_09_26.json,snapshot_2026_08_27.json,128,128,0,0
42,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,104,104,1090,1090,986,986,snapshot_2026_09_26.json,snapshot_2026_08_27.json,104,104,0,0
43,hernang87,hernang87,https://github.com/hernang87,1,1,0,82,82,210,210,128,128,snapshot_2026_09_26.json,snapshot_2026_08_27.json,82,82,0,0
44,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,63,63,1648,1648,1585,1585,snapshot_2026_09_26.json,snapshot_2026_08_27.json,63,63,0,0
45,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,62,62,638,638,576,576,snapshot_2026_09_26.json,snapshot_2026_08_27.json,62,62,0,0
46,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,61,61,329,329,268,268,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,61,61
47,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,60,60,277,277,217,217,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,60,60
48,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,59,59,159,159,100,100,snapshot_2026_09_26.json,snapshot_2026_08_27.json,59,59,0,0
49,MaxCheng95,MaxCheng95,https://github.com/MaxCheng95,2,0,2,46,46,46,46,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,46,46
50,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,40,40,392,392,352,352,snapshot_2026_09_26.json,snapshot_2026_08_27.json,40,40,0,0
51,giannons46,giannons46,https://github.com/giannons46,1,1,0,40,40,187,187,147,147,snapshot_2026_09_26.json,snapshot_2026_08_27.json,40,40,0,0
52,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,39,39,169,169,130,130,snapshot_2026_09_26.json,snapshot_2026_08_27.json,39,39,0,0
53,bean1322,bean1322,https://github.com/bean1322,2,2,0,26,26,183,183,157,157,snapshot_2026_09_26.json,snapshot_2026_08_27.json,26,26,0,0
54,JcPires,JcPires,https://github.com/JcPires,1,1,0,25,25,103,103,78,78,snapshot_2026_09_26.json,snapshot_2026_08_27.json,25,25,0,0
55,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,13,13,157,157,144,144,snapshot_2026_09_26.json,snapshot_2026_08_27.json,13,13,0,0
56,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,8,8,217,217,209,209,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,8,8
57,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,3,3,314,314,311,311,snapshot_2026_09_26.json,snapshot_2026_08_27.json,3,3,0,0
58,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,1,1,380,380,379,379,snapshot_2026_09_26.json,snapshot_2026_08_27.json,1,1,0,0
59,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,0,0,13939,13939,13939,13939,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,0,0
60,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1262,1262,1262,1262,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,0,0
61,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,0,0,268,268,268,268,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,0,0
62,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,0,0
63,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,0,0
