date_or_hour,dimension,metric,visits
2026-04-17,pages,/registry/maps/trondheim-val,1
2026-04-17,pages,/registry/maps/warsaw-val,1
2026-04-17,pages,/registry/maps/wilmington-nc,1
2026-04-17,pages,/registry/maps/yukina-kagoshima-kirishima,2
2026-04-17,pages,/registry/maps/yukina-kitakyushu-shimonoseki,1
2026-04-17,pages,/registry/maps/yukina-kochi,1
2026-04-17,pages,/registry/maps/yukina-matsuyama,1
2026-04-17,pages,/registry/maps/yukina-nagasaki,1
2026-04-17,pages,/registry/maps/yukina-nagoya,1
2026-04-17,pages,/registry/maps/yukina-nakadoori,1
2026-04-17,pages,/registry/maps/yukina-nakaumi,1
2026-04-17,pages,/registry/maps/yukina-sapporo-chitose,2
2026-04-17,pages,/registry/maps/yukina-tsugaru,2
2026-04-17,pages,/registry/maps/yukina-yamagata,1
2026-04-17,pages,/registry/mods/advanced-analytics,8
2026-04-17,pages,/registry/mods/any-money,2
2026-04-17,pages,/registry/mods/cinematic-camera,2
2026-04-17,pages,/registry/mods/danield1909-dantrains,3
2026-04-17,pages,/registry/mods/game-speedup,1
2026-04-17,pages,/registry/mods/simple-trains,5
2026-04-17,pages,/registry/mods/subwaybuilder-regions,2
2026-04-17,pages,/registry/mods/transit-overlay,3
2026-04-17,pages,/registry/mods/valdotoriums-trains,2
2026-04-17,pages,/registry/trending,5
2026-04-17,pages,/registry/world-map,11
2026-04-17,pages,/template-mod,6
2026-04-17,pages,/template-mod/docs,7
2026-04-17,pages,/template-mod/docs/v1.0,4
2026-04-17,pages,/template-mod/docs/v1.0/common-patterns,3
2026-04-17,pages,/template-mod/docs/v1.0/debugging,2
2026-04-17,pages,/template-mod/docs/v1.0/getting-started,6
2026-04-17,pages,/template-mod/docs/v1.0/project-structure,3
2026-04-17,pages,/template-mod/docs/v1.0/react-components,4
2026-04-17,pages,/template-mod/docs/v1.0/type-reference,4
2026-04-17,pages,/template-mod/updates,4
2026-04-17,pages,/tools/md-playground,6
2026-04-17,pages,/updates/railyard,4
2026-04-17,pages,/updates/railyard/v0.1.1,1
2026-04-17,pages,/updates/railyard/v0.2.1,2
2026-04-17,pages,/updates/railyard/v0.2.2,9
2026-04-17,pages,/website,3
2026-04-17,pages,/website/updates,6
2026-04-17,pages,/website/updates/v1.0.0,3
2026-04-17,pages,/website/updates/v1.0.1,2
2026-04-17,pages,/website/updates/v1.0.3,2
2026-04-17,countries,AE,1
2026-04-17,countries,AR,17
2026-04-17,countries,AU,15
2026-04-17,countries,BE,17
2026-04-17,countries,BG,5
2026-04-17,countries,BR,9
2026-04-17,countries,CA,57
2026-04-17,countries,CH,3
2026-04-17,countries,CI,1
2026-04-17,countries,CN,2
2026-04-17,countries,CZ,3
2026-04-17,countries,DE,35
2026-04-17,countries,DK,10
2026-04-17,countries,DO,1
2026-04-17,countries,ES,7
2026-04-17,countries,FI,6
2026-04-17,countries,FR,28
2026-04-17,countries,GB,32
2026-04-17,countries,HK,6
2026-04-17,countries,IE,3
2026-04-17,countries,IN,8
2026-04-17,countries,IQ,1
2026-04-17,countries,IS,1
2026-04-17,countries,IT,5
2026-04-17,countries,JO,1
2026-04-17,countries,JP,9
2026-04-17,countries,KE,1
2026-04-17,countries,KR,3
2026-04-17,countries,LK,3
2026-04-17,countries,LT,1
2026-04-17,countries,MX,1
2026-04-17,countries,MY,2
2026-04-17,countries,NL,14
2026-04-17,countries,OM,1
2026-04-17,countries,PK,1
2026-04-17,countries,PL,12
2026-04-17,countries,PT,12
2026-04-17,countries,RO,8
2026-04-17,countries,RS,2
2026-04-17,countries,RU,8
2026-04-17,countries,SE,2
2026-04-17,countries,SG,7
2026-04-17,countries,SK,2
2026-04-17,countries,TH,5
2026-04-17,countries,TR,1
2026-04-17,countries,TW,2
2026-04-17,countries,US,510
2026-04-17,countries,VN,5
2026-04-17,countries,ZA,1
2026-04-17,browsers,AppleBot,13
2026-04-17,browsers,BingBot,18
2026-04-17,browsers,Chrome,244
2026-04-17,browsers,ChromeHeadless,11
2026-04-17,browsers,ChromeMobile,32
2026-04-17,browsers,ChromeMobileWebview,1
2026-04-17,browsers,Curl,9
2026-04-17,browsers,Edge,44
2026-04-17,browsers,Firefox,60
2026-04-17,browsers,FirefoxMobile,3
2026-04-17,browsers,GoogleBot,101
2026-04-17,browsers,MobileSafari,27
2026-04-17,browsers,Opera,14
2026-04-17,browsers,Safari,70
2026-04-17,browsers,SamsungInternet,5
2026-04-17,browsers,Unknown,233
2026-04-17,browsers,YandexBot,2
2026-04-17,operating_systems,Android,126
2026-04-17,operating_systems,Linux,32
2026-04-17,operating_systems,MacOSX,222
2026-04-17,operating_systems,Unknown,274
2026-04-17,operating_systems,Windows,200
2026-04-17,operating_systems,iOS,33
2026-04-17,devices,desktop,706
2026-04-17,devices,mobile,181
2026-04-18,totals,visits,947
2026-04-18,pages,/,275
2026-04-18,pages,/contribute,11
2026-04-18,pages,/credits,6
2026-04-18,pages,/license,2
2026-04-18,pages,/railyard,140
2026-04-18,pages,/railyard/analytics,4
2026-04-18,pages,/railyard/browse,22
2026-04-18,pages,/railyard/docs,14
2026-04-18,pages,/railyard/docs/latest/developers/publishing-projects,3
2026-04-18,pages,/railyard/docs/latest/players/github-token,2
2026-04-18,pages,/railyard/docs/latest/players/installing-railyard,1
2026-04-18,pages,/railyard/docs/v0.1/developers,2
2026-04-18,pages,/railyard/docs/v0.1/developers/data-quality,3
2026-04-18,pages,/railyard/docs/v0.1/developers/publishing-projects,2
2026-04-18,pages,/railyard/docs/v0.1/developers/using-custom-url,2
2026-04-18,pages,/railyard/docs/v0.1/players,3
2026-04-18,pages,/railyard/docs/v0.1/players/github-token,5
2026-04-18,pages,/railyard/docs/v0.1/players/install-guide-linux,5
2026-04-18,pages,/railyard/docs/v0.1/players/install-guide-macos,3
2026-04-18,pages,/railyard/docs/v0.1/players/install-guide-windows,2
2026-04-18,pages,/railyard/docs/v0.2/developers,1
2026-04-18,pages,/railyard/docs/v0.2/developers/data-quality,1
2026-04-18,pages,/railyard/docs/v0.2/developers/dependencies,1
2026-04-18,pages,/railyard/docs/v0.2/developers/publishing-projects,3
2026-04-18,pages,/railyard/docs/v0.2/developers/tagging,4
2026-04-18,pages,/railyard/docs/v0.2/players,1
2026-04-18,pages,/railyard/docs/v0.2/players/country-flag-emojis,1
2026-04-18,pages,/railyard/docs/v0.2/players/github-token,17
2026-04-18,pages,/railyard/docs/v0.2/players/importing-custom-assets,7
2026-04-18,pages,/railyard/docs/v0.2/players/installing-railyard,9
2026-04-18,pages,/railyard/docs/v0.2/players/installing-railyard/linux,2
2026-04-18,pages,/railyard/docs/v0.2/players/installing-railyard/macos,7
2026-04-18,pages,/railyard/docs/v0.2/players/installing-railyard/windows,11
2026-04-18,pages,/railyard/docs/v0.2/players/profile-management,1
2026-04-18,pages,/railyard/maps/amsterdam,1
2026-04-18,pages,/railyard/maps/anchorage-ak,1
2026-04-18,pages,/railyard/maps/baltimore-dc-corridor,1
2026-04-18,pages,/railyard/maps/barcelona,3
2026-04-18,pages,/railyard/maps/berlin-val,3
2026-04-18,pages,/railyard/maps/bilbao,1
2026-04-18,pages,/railyard/maps/buffalo-ny,1
2026-04-18,pages,/railyard/maps/charleston-huntington-wv,1
2026-04-18,pages,/railyard/maps/daejeon-3/changelog/0.1.1,1
2026-04-18,pages,/railyard/maps/florence,1
2026-04-18,pages,/railyard/maps/garda-lake/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/genoa,1
2026-04-18,pages,/railyard/maps/genoa/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/glasgow-edinburgh,1
2026-04-18,pages,/railyard/maps/greater-kuala-lumpur,6
2026-04-18,pages,/railyard/maps/greater-los-angeles,4
