date_or_hour,metric,visits
2026-05-01,ES,9
2026-05-01,FR,5
2026-05-01,GB,7
2026-05-01,HK,7
2026-05-01,ID,2
2026-05-01,IE,3
2026-05-01,IN,3
2026-05-01,IT,3
2026-05-01,JM,1
2026-05-01,JO,1
2026-05-01,LB,1
2026-05-01,MD,3
2026-05-01,MX,1
2026-05-01,MY,6
2026-05-01,NG,1
2026-05-01,NO,1
2026-05-01,PL,2
2026-05-01,PT,3
2026-05-01,SG,3
2026-05-01,SY,1
2026-05-01,US,101
2026-05-01,UY,1
2026-05-01,VE,1
2026-05-01,VN,15
2026-05-02,AR,1
2026-05-02,BD,1
2026-05-02,BE,1
2026-05-02,CA,14
2026-05-02,CL,1
2026-05-02,CO,1
2026-05-02,DE,3
2026-05-02,DK,4
2026-05-02,ES,8
2026-05-02,FR,6
2026-05-02,GB,20
2026-05-02,HK,1
2026-05-02,HN,1
2026-05-02,ID,2
2026-05-02,IQ,1
2026-05-02,IT,1
2026-05-02,MX,2
2026-05-02,NL,11
2026-05-02,PS,1
2026-05-02,SG,4
2026-05-02,SY,1
2026-05-02,US,77
2026-05-02,UZ,2
2026-05-02,VE,3
2026-05-02,VN,27
2026-05-02,ZW,2
2026-05-03,AU,1
2026-05-03,BR,1
2026-05-03,CA,1
2026-05-03,CH,1
2026-05-03,CZ,1
2026-05-03,DE,38
2026-05-03,DK,2
2026-05-03,ES,1
2026-05-03,FR,13
2026-05-03,GB,1
2026-05-03,IL,6
2026-05-03,IT,2
2026-05-03,MY,1
2026-05-03,NL,14
2026-05-03,NZ,10
2026-05-03,PL,3
2026-05-03,SE,1
2026-05-03,TH,1
2026-05-03,UA,1
2026-05-03,US,41
2026-05-04,BA,1
2026-05-04,BR,1
2026-05-04,CH,4
2026-05-04,CN,3
2026-05-04,CZ,2
2026-05-04,DE,6
2026-05-04,FR,3
2026-05-04,GB,13
2026-05-04,ID,1
2026-05-04,IE,3
2026-05-04,JP,4
2026-05-04,KR,3
