rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
41,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,16,16,437,437,421,421,snapshot_2026_09_23.json,snapshot_2026_09_20.json,16,16,0,0
42,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,16,16,298,298,282,282,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,16,16
43,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,15,15,3334,3334,3319,3319,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,15,15
44,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,15,15,2424,2424,2409,2409,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,15,15
45,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,14,14,2641,2641,2627,2627,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,14,14
46,seanyushoumori/train-anarchy,train-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,13,13,432,432,419,419,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,13,13
47,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,12,12,587,587,575,575,snapshot_2026_09_23.json,snapshot_2026_09_20.json,12,12,0,0
48,noahgarrf/unrusted-an-alternate-rust-belt,Unrusted-An-Alternate-Rust-Belt,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,12,12,107,107,95,95,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,12,12
49,noahgarrf/la-metro-trainpack,la-metro-trainpack,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,12,12,88,88,76,76,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,12,12
50,noahgarrf/unrusted-chicago,unrusted-chicago,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,12,12,86,86,74,74,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,12,12
51,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,11,11,3800,3800,3789,3789,snapshot_2026_09_23.json,snapshot_2026_09_20.json,11,11,0,0
52,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,11,11,2546,2546,2535,2535,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,11,11
53,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,11,11,1983,1983,1972,1972,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,11,11
54,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,11,11,1948,1948,1937,1937,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,11,11
55,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,11,11,780,780,769,769,snapshot_2026_09_23.json,snapshot_2026_09_20.json,11,11,0,0
56,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,10,10,2655,2655,2645,2645,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,10,10
57,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,10,10,1226,1226,1216,1216,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,10,10
58,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,10,10,331,331,321,321,snapshot_2026_09_23.json,snapshot_2026_09_20.json,10,10,0,0
59,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,9,9,2851,2851,2842,2842,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,9,9
60,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,9,9,1782,1782,1773,1773,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,9,9
61,holapapie-png/subwaybuilder-gran-santiago,subwaybuilder-gran-santiago,holapapie-png,holapapie-png,https://github.com/holapapie-png,1,9,9,136,136,127,127,snapshot_2026_09_23.json,snapshot_2026_09_20.json,9,9,0,0
62,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,7,7,788,788,781,781,snapshot_2026_09_23.json,snapshot_2026_09_20.json,7,7,0,0
63,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,7,7,556,556,549,549,snapshot_2026_09_23.json,snapshot_2026_09_20.json,7,7,0,0
64,danield1909/pathfinding-realism-mod,Pathfinding-Realism-Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,7,7,324,324,317,317,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,7,7
65,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,6,6,595,595,589,589,snapshot_2026_09_23.json,snapshot_2026_09_20.json,6,6,0,0
66,lexenygma/sb-brussels,sb-brussels,lexenygma,lexenygma,https://github.com/lexenygma,1,6,6,151,151,145,145,snapshot_2026_09_23.json,snapshot_2026_09_20.json,6,6,0,0
67,jcpires/subway-builder-idf,subway-builder-idf,JcPires,JcPires,https://github.com/JcPires,1,6,6,102,102,96,96,snapshot_2026_09_23.json,snapshot_2026_09_20.json,6,6,0,0
68,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,5,5,1021,1021,1016,1016,snapshot_2026_09_23.json,snapshot_2026_09_20.json,5,5,0,0
69,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,5,5,942,942,937,937,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,5,5
70,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,budhakr,budhakr,https://github.com/budhakr,1,5,5,451,451,446,446,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,5,5
71,noahgarrf/unrusted-detroit,unrusted-detroit,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,5,5,55,55,50,50,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,5,5
72,maxcheng95/mtr-trains-for-subway-builder,MTR-Trains-for-Subway-Builder,MaxCheng95,MaxCheng95,https://github.com/MaxCheng95,1,5,5,24,24,19,19,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,5,5
73,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,4,4,2232,2232,2228,2228,snapshot_2026_09_23.json,snapshot_2026_09_20.json,4,4,0,0
74,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,4,4,904,904,900,900,snapshot_2026_09_23.json,snapshot_2026_09_20.json,4,4,0,0
75,m4d5hr1mp/sb-mods,SB-Mods,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,4,4,329,329,325,325,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,4,4
76,pierreggt/subway-builder-bordeaux,subway-builder-bordeaux,pierreggt,pierreggt,https://github.com/pierreggt,1,4,4,241,241,237,237,snapshot_2026_09_23.json,snapshot_2026_09_20.json,4,4,0,0
77,pierreggt/subway-builder-nice,subway-builder-nice,pierreggt,pierreggt,https://github.com/pierreggt,1,4,4,221,221,217,217,snapshot_2026_09_23.json,snapshot_2026_09_20.json,4,4,0,0
78,barkuperman/anysave,AnySave,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,4,4,127,127,123,123,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,4,4
79,holapapie-png/subwaybuilder-chile-central,subwaybuilder-chile-central,holapapie-png,holapapie-png,https://github.com/holapapie-png,1,4,4,102,102,98,98,snapshot_2026_09_23.json,snapshot_2026_09_20.json,4,4,0,0
80,nerdiesanders/subway-builder-spi,subway-builder-spi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,4,4,64,64,60,60,snapshot_2026_09_23.json,snapshot_2026_09_20.json,4,4,0,0
